,watch_name,Watch Description,Watch Price,Total Rating
62,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
63,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
64,boAt,Analog Men's Watch (Dial Colored Strap),355,322
65,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
66,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
67,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
68,MARVIK,Analogue Women's Watch (Black Dial),339,736
69,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
70,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
71,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
72,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
73,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
74,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
75,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,349"
76,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
77,TIMEWEAR,The Watch,"2,699","5,504"
78,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
79,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
80,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
81,NIBOSI,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,"2,699",150
82,Fossil,Chronograph Black Men Watch CH2885,"6,145","1,493"
83,Fossil,Chronograph Black Dial Men's Watch-BQ2364,"6,597","1,393"
84,Acnos,"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)","2,999","1,672"
85,Sonata,Brand - A Watch Analogue Plain Black Dial Magnet Watch With Gift Bracelet For Women Or Girls And Watch For Girl Or Women (Combo Of 3),329,747
86,LOUIS DEVIN,Splash Analog Off-White Dial Women's Watch-8976SL15/NP8976SL15,"1,499",87
