,watch_name,Watch Description,Watch Price,Total Rating
401,pTron,"boAt Wave Edge with 1.85"" HD Display, Advanced Bluetooth Calling Chip, Functional Crown, 100+ Sports Modes,Widget Control,AI Voice Assistance,Inbuilt Games, IP68(Active Black)","3,999","3,347"
402,Acnos,"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, 1.69"" Display, AI Voice Assistance with 100 Sports Modes, with SpO2 & Heart Rate Monitoring (Navy Blue)","2,099","22,197"
403,Fire-Boltt,Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1 Watch Water Resistance Digital Watch,"1,499","1,338"
404,TIMEX,Casual Analog Dial Men's Watch -NM3124SL02 / NL3124SL02/NP3124SL02,285,122
405,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,13
406,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
407,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695","14,135"
408,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199",379
409,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,34
410,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,593
411,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690","1,517"
412,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",456
413,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
414,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099","8,550"
415,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
416,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
417,V2A,"Boys and Girls Kids Watch - Waterproof Watch, Gifts for Boys and Girls Age 5-13 for Multi-Functional 30 M Waterproof Digital Sports Watches for 3 4 5 6 7 Year Old Girls",799,705
418,V2A,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,395,"3,027"
419,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),"1,999",733
